FORM_NAME,CATEGORY_NAME,MAKE,MODEL,POWER,TYRE_SIZE,NET_WT,NUMBER_WHEELS,NUMBER_AXLES
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Cycle,Ordinary Vehicles,YAMAHA,V50 B/M 12 DX,50,2.75X18,80,2,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,MERCEDES-BENZ,ML 350 CDI,3500,225/65R19,2000,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,NOAH TA-AZR65G,1998,195/65R15,1600,4,2
First Time Registration - Motor Cycle,Ordinary Vehicles,SENKO,LGVSJP,125,2.50-18,101,2,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,MASSEY FERGUSON,2640-D1,110,"11.00-16,  18.4-38",3050,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE KC-LH113V,2779,195/80R15,1640,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,CORONA PREMIO E-AT211,1762,185/65R14,1150,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1794,195/65R15,1300,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE (KC-LH113V),2779,185R14,1590,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,CORONA PREMIO E-AT211,1762,175/70R14,1150,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,ISUZU,ELF (NHR54E),2490,165R14,1580,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,ALLEX XS150 TA-NZE121,1490,185/70R14,1070,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,KLUGER V (TA-ACU20W),2362,225/60R17,1550,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,COROLLA SPACIO (TA-NZE121N),1496,195/80R15,1180,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE KG-LH178V,2980,195/60R16,1890,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,KLUGER (UA-ACU20W),2362,225/60R17,1500,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1790,195/65R15,1320,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HIACE (KG-LH178V),2984,215/70R15,1820,4,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,TOYOTA,LAND CRUISER(HZJ79LDKMRS),4163,7.50R16,1162,4,2
First Time Registration - Motor Vehicle,Duty Free/Tax Free,FIAT,DUCATO,78,10.00-16  13.6R38,2200,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,PREMIO TA-AZT240,1998,195/65R15,1240,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,Landcruiser Station Wagon,4663,275/70R16,2300,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (P-FE305B),3564,7.00R16,1920,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1794,195/65R15,1300,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,DYNA U-BU88,3660,7.00R16,2710,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (FE308B),2830,6.50R15,1840,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,CORONA PREMIO GF-AT211,1762,195/65R15,1150,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,HARRIER CBA-ACU30W-AWPGK,2398,245/45R20,1620,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,MITSUBISHI,CANTER (P-FE315BD),3567,6.50R16,2540,6,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,LAND CRUISER (KG-HDJ101K),4200,265/70R16,2140,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,DAIHATSU,HIJET (V-S110P),650,145R12,139,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,COROLLA SPACIO TA-NZE121N,1496,185/70R14,1190,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,WISH UA-ZNE10G-HPPNK,1794,195/65R15,1320,4,2
First Time Registration - Motor Vehicle,Ordinary Vehicles,TOYOTA,MARK II GRANDE TA-GX110,1980,195/65R15,1380,4,2
