No,Link Name/Mother station,ADT including summary motorcycles (24 hr counts),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72
,,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2917-02-01 00:00:00,2917-03-01 00:00:00,2917-04-01 00:00:00,2917-05-01 00:00:00,2917-06-01 00:00:00,2917-07-01 00:00:00,2917-08-01 00:00:00,2917-09-01 00:00:00,2917-10-01 00:00:00,2917-11-01 00:00:00,2917-12-01 00:00:00,2918-01-01 00:00:00,2918-02-01 00:00:00,2918-03-01 00:00:00,2918-04-01 00:00:00,2918-05-01 00:00:00,2918-06-01 00:00:00,2918-07-01 00:00:00,2918-08-01 00:00:00,2918-09-01 00:00:00,2918-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00
1.0,Kasangati - Kyaliwajala,4290,0,0,4910,4053,3509,4246,2666,1989,2600,0,0,0,4783,4952,5232,4529,4296,4997,5223,0,4745,5075,0,4383,4801,6019,5512,3641,4438,0,0,0,5666,5514,4827,4866,4820,5007,6267,5277,0,6472,3968,0,0,0,0,6786,6436,0,5940,5790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,Kalagi - Bukoloto - Kayunga,4358,4061,4055,3973,5113,4596,4177,4039,0,0,0,0,0,4415,4517,4576,4854,0,4539,4540,4433,0,0,4845,4981,4979,4203,4173,4981,5120,0,0,5037,0,5174,4875,5143,5308,5516,4765,3549,5399,4669,5558,0,0,0,0,6060,5756,6536,0,3365,4923,5954,6491,3597,8066,8546,0,0,0,5721,0,0,0,0,0,3023,3300,0
3.0,Njeru - Bukoloto,3635,0,5321,0,3939,3626,3783,3351.5,3494,0,0,0,0,0,0,0,0,0,0,0,3603,3682,3433,0,4981,3158,3507,3626,4837,3961,0,0,4326,3865,4294,4253,4143,4421,4369,4514,4786,0,4500,2197,0,0,0,0,0,0,3549,0,5071,4222,5344,2675,5127,5405,0,0,0,0,3312,0,3408,0,0,0,0,0,0
4.0,Kampala - Mukono,28152,6820,0,28671,29128,28745,29798,28572.333333333336,27002,28510,41484,28573,29170,29985,29616,29958,31427,0,31554,29704,29620,30282,30891,31035,31198,31677,30780,32527,34373,32894,32115,36221,35907,30846,30793,32556,31837,30043,31092,33110,34829,34207,35851,3244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,Buwama - Nyendo,7004,695,5321,5381,4447,0,0,7026,8081,7525,7361,0,0,6651,6830,6820,7768,0,7061,0,6426,7670,7029,7241,6074,7458,6246,7424,7561,0,6724,0,6990,6256,6600,8142,6557,8336,4926,3347,4561,0,2816,0,0,0,0,0,2401,2288,2693,1797,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,Lyantonde - Ntusi,0,1342,503,578.5,655,616,667,533,586,590,618,578,688,545,581,498,654,548,610,563,0,0,618,618,622,535,671,603,614,0,0,0,524,637,680,605,639,647,539,658,776,699,684,0,0,0,0,0,0,790,682,695,618,524,662,718,484,673,721,0,0,0,758,826,799,0,0,0,0,0,0
7.0,Ishaka - Katunguru,1563,1342,1505,1533,1492,1508,1375,1420,1383,1436,1498,1550,1673,1508,1517,1636,0,1570,1567,1537,1616,0,1702,1674,1737,1747,1701,1751,1543,0,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626,0,0,1572,1473,0,0,0,0,1675,0,1833,0,0,1627,0,0,0
8.0,Kyenjojo - Fortportal,737,1240,2106,2076,2224,2316,2301,2176,2133,2525,2026,2232,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,2381,2260,2296,2317,2273,2467,2623,0,2570,1983,0,0,0,0,2726,2625,0,2809,3049,0,2993,0,3000,2985,0,0,0,0,2952,0,2916,0,0,0,1441,2075,0
9.0,Ibanda - Kamwenje Road,2142,2080,0,2212,2972,2270,2448,2131,2423,2451,2213,1550,2231,2317,2174,2321,2193,2584,2689,2475,2137,2412,2223,0,2419,2621,2339,2374,2851,2307,0,0,2510,2393,2458,2498,1895,2368,2257,2438,3025,2407,2546,0,0,0,0,0,0,2591,2573,2502,3044,2503,2847,2596,2679,3026,3032,0,0,0,2590,2449,2994,0,0,0,656,0,0
