Intersection,Date,Hour,Period,Session_Type,Cars,Boda_bodas,Tricycles,Minibuses,Heavy_Trucks,TriHeadway,CarHeadway,VC
Wandegeya Junction,2026-06-01,7,Peak,Day,739,862,30,95,7,4.09,2.81,1.18
Wandegeya Junction,2026-06-01,7,Peak,Day,762,818,22,71,8,2.44,2.28,1.06
Wandegeya Junction,2026-06-01,7,Peak,Day,754,800,17,60,12,3.33,1.93,1.12
Wandegeya Junction,2026-06-01,7,Peak,Day,747,790,21,81,6,3.0,3.24,1.12
Wandegeya Junction,2026-06-01,8,Peak,Day,789,962,28,70,9,2.64,2.58,1.18
Wandegeya Junction,2026-06-01,8,Peak,Day,832,925,34,81,4,3.07,2.92,1.26
Wandegeya Junction,2026-06-01,8,Peak,Day,764,942,31,80,6,3.82,2.87,1.29
Wandegeya Junction,2026-06-01,8,Peak,Day,815,943,22,97,7,2.75,2.02,1.29
Wandegeya Junction,2026-06-01,9,Off-Peak,Day,427,424,19,69,7,3.48,3.12,0.62
Wandegeya Junction,2026-06-01,9,Off-Peak,Day,434,322,13,66,6,3.35,1.7,0.57
Wandegeya Junction,2026-06-01,9,Off-Peak,Day,392,486,11,50,3,3.76,2.63,0.62
Wandegeya Junction,2026-06-01,9,Off-Peak,Day,397,431,9,68,3,3.1,1.91,0.61
Wandegeya Junction,2026-06-01,10,Off-Peak,Day,370,406,15,51,1,3.13,2.18,0.56
Wandegeya Junction,2026-06-01,10,Off-Peak,Day,375,481,11,56,6,2.34,2.49,0.64
Wandegeya Junction,2026-06-01,10,Off-Peak,Day,447,398,13,57,5,3.87,2.8,0.58
Wandegeya Junction,2026-06-01,10,Off-Peak,Day,329,462,18,37,7,2.8,2.27,0.7
Wandegeya Junction,2026-06-01,11,Off-Peak,Day,324,322,12,52,2,2.84,3.12,0.51
Wandegeya Junction,2026-06-01,11,Off-Peak,Day,330,417,5,36,6,2.5,2.57,0.61
Wandegeya Junction,2026-06-01,11,Off-Peak,Day,369,335,14,35,6,3.43,2.64,0.54
Wandegeya Junction,2026-06-01,11,Off-Peak,Day,350,396,6,42,10,2.7,2.76,0.58
Wandegeya Junction,2026-06-01,12,Off-Peak,Day,312,366,2,32,7,3.71,3.26,0.52
Wandegeya Junction,2026-06-01,12,Off-Peak,Day,258,285,8,32,4,3.44,2.83,0.42
Wandegeya Junction,2026-06-01,12,Off-Peak,Day,335,310,10,75,6,2.76,2.69,0.46
Wandegeya Junction,2026-06-01,12,Off-Peak,Day,309,339,8,41,1,3.08,2.84,0.41
Wandegeya Junction,2026-06-01,13,Off-Peak,Day,254,342,12,49,2,3.33,2.04,0.46
Wandegeya Junction,2026-06-01,13,Off-Peak,Day,318,379,13,57,0,3.56,2.71,0.48
Wandegeya Junction,2026-06-01,13,Off-Peak,Day,433,358,14,58,7,3.14,2.8,0.63
Wandegeya Junction,2026-06-01,13,Off-Peak,Day,290,316,4,45,11,3.64,1.85,0.37
Wandegeya Junction,2026-06-01,14,Off-Peak,Day,342,344,6,32,2,2.93,2.59,0.53
Wandegeya Junction,2026-06-01,14,Off-Peak,Day,281,427,11,53,0,2.97,2.84,0.54
Wandegeya Junction,2026-06-01,14,Off-Peak,Day,299,362,4,55,1,3.06,2.24,0.48
Wandegeya Junction,2026-06-01,14,Off-Peak,Day,318,291,24,56,11,2.54,2.31,0.53
Wandegeya Junction,2026-06-01,15,Off-Peak,Day,273,353,20,54,1,1.68,2.09,0.48
Wandegeya Junction,2026-06-01,15,Off-Peak,Day,254,401,8,27,3,4.02,1.93,0.48
Wandegeya Junction,2026-06-01,15,Off-Peak,Day,298,296,19,50,5,3.33,2.35,0.43
Wandegeya Junction,2026-06-01,15,Off-Peak,Day,321,399,11,29,11,3.22,2.74,0.43
Wandegeya Junction,2026-06-01,16,Off-Peak,Day,396,461,16,56,4,3.48,2.22,0.69
Wandegeya Junction,2026-06-01,16,Off-Peak,Day,428,502,21,70,4,3.67,2.74,0.68
Wandegeya Junction,2026-06-01,16,Off-Peak,Day,422,521,14,55,8,3.19,2.94,0.69
Wandegeya Junction,2026-06-01,16,Off-Peak,Day,446,522,21,62,8,3.46,2.45,0.71
