IncidentType,Severity
Rear-end collision,Minor
Rollover,Serious
Motorcycle crash,Minor
Hit & run,Minor
Vehicle collision,Serious
Single vehicle accident,Minor
Motorcycle crash,Minor
Rear-end collision,Minor
Rear-end collision,Serious
Rear-end collision,Fatal
Single vehicle accident,Minor
Rollover,Minor
Head-on collision,Serious
Rollover,Minor
Head-on collision,Minor
Rear-end collision,Minor
Motorcycle crash,Minor
Hit & run,Serious
Rear-end collision,Serious
Rollover,Serious
Vehicle collision,Serious
Hit & run,Fatal
Single vehicle accident,Minor
Vehicle-bicycle collision,Minor
Collision with pedestrian,Minor
Single vehicle accident,Serious
Vehicle collision,Minor
Rollover,Serious
Side-swipe,Fatal
Motorcycle crash,Minor
Single vehicle accident,Serious
Vehicle collision,Minor
Motorcycle crash,Serious
Vehicle collision,Serious
Single vehicle accident,Serious
Rear-end collision,Serious
Side-swipe,Serious
Motorcycle crash,Minor
Motorcycle crash,Fatal
Vehicle collision,Fatal
Motorcycle crash,Minor
Hit & run,Minor
Hit & run,Minor
Head-on collision,Serious
Side-swipe,Minor
Side-swipe,Fatal
Collision with pedestrian,Serious
Single vehicle accident,Fatal
Motorcycle crash,Minor
Vehicle-bicycle collision,Serious
Vehicle-bicycle collision,Fatal
Hit & run,Serious
Rollover,Fatal
Vehicle-bicycle collision,Minor
Collision with pedestrian,Serious
Hit & run,Serious
Hit & run,Minor
Collision with pedestrian,Serious
Side-swipe,Serious
Side-swipe,Serious
Side-swipe,Serious
Side-swipe,Minor
Vehicle collision,Minor
Rear-end collision,Minor
Motorcycle crash,Minor
Single vehicle accident,Serious
Motorcycle crash,Serious
Collision with pedestrian,Minor
Single vehicle accident,Minor
Single vehicle accident,Minor
Collision with pedestrian,Minor
Vehicle collision,Minor
Rear-end collision,Serious
Vehicle-bicycle collision,Minor
Rollover,Minor
Hit & run,Minor
Motorcycle crash,Serious
Vehicle-bicycle collision,Minor
Vehicle collision,Fatal
Single vehicle accident,Serious
Vehicle collision,Minor
Collision with pedestrian,Serious
Collision with pedestrian,Minor
Vehicle collision,Serious
Collision with pedestrian,Serious
Rear-end collision,Serious
Vehicle collision,Fatal
Single vehicle accident,Minor
Head-on collision,Fatal
Collision with pedestrian,Serious
Side-swipe,Minor
Rear-end collision,Fatal
Single vehicle accident,Minor
Collision with pedestrian,Serious
Side-swipe,Serious
Hit & run,Minor
Motorcycle crash,Serious
Vehicle-bicycle collision,Serious
Rollover,Fatal
Side-swipe,Fatal
Rear-end collision,Fatal
Vehicle-bicycle collision,Minor
Head-on collision,Minor
Head-on collision,Minor
Hit & run,Minor
Single vehicle accident,Minor
Side-swipe,Fatal
Rear-end collision,Minor
Vehicle collision,Minor
Hit & run,Minor
Hit & run,Serious
Rollover,Minor
Rollover,Minor
Vehicle-bicycle collision,Fatal
Rear-end collision,Minor
Rollover,Fatal
Hit & run,Minor
Head-on collision,Fatal
Collision with pedestrian,Minor
Vehicle-bicycle collision,Serious
Hit & run,Minor
Hit & run,Serious
Rear-end collision,Serious
Rear-end collision,Serious
Side-swipe,Minor
Single vehicle accident,Fatal
Motorcycle crash,Minor
Head-on collision,Serious
Rollover,Serious
Rollover,Minor
Rear-end collision,Minor
Vehicle collision,Minor
Motorcycle crash,Serious
Motorcycle crash,Minor
Motorcycle crash,Minor
Collision with pedestrian,Serious
Rollover,Fatal
Rollover,Minor
Vehicle collision,Serious
Hit & run,Minor
Side-swipe,Serious
Head-on collision,Minor
Single vehicle accident,Serious
Single vehicle accident,Serious
Vehicle-bicycle collision,Minor
Rollover,Minor
Single vehicle accident,Minor
Hit & run,Minor
Rollover,Minor
Vehicle collision,Minor
Collision with pedestrian,Minor
Hit & run,Minor
Rollover,Serious
Rear-end collision,Minor
Vehicle collision,Serious
Side-swipe,Fatal
Vehicle-bicycle collision,Serious
Side-swipe,Minor
Side-swipe,Fatal
Rear-end collision,Minor
Vehicle collision,Serious
Single vehicle accident,Minor
Rollover,Minor
Collision with pedestrian,Minor
Motorcycle crash,Serious
