Intersection,Date,Hour,Period,Weather,Cars,Boda_bodas,Tricycles,Minibuses,Heavy_Trucks
Bakuli Intersection,2026-06-01,6,Off-Peak,Dry,191,392,101,82,6
Bakuli Intersection,2026-06-01,6,Off-Peak,Dry,125,234,73,47,7
Bakuli Intersection,2026-06-01,6,Off-Peak,Dry,163,223,63,74,6
Bakuli Intersection,2026-06-01,6,Off-Peak,Dry,159,389,120,58,6
Bakuli Intersection,2026-06-01,7,Peak,Dry,357,889,239,143,7
Bakuli Intersection,2026-06-01,7,Peak,Dry,481,761,196,170,13
Bakuli Intersection,2026-06-01,7,Peak,Dry,464,955,211,212,26
Bakuli Intersection,2026-06-01,7,Peak,Dry,411,887,176,184,10
Bakuli Intersection,2026-06-01,8,Peak,Dry,392,942,228,189,20
Bakuli Intersection,2026-06-01,8,Peak,Dry,504,1221,191,197,16
Bakuli Intersection,2026-06-01,8,Peak,Dry,483,869,188,154,24
Bakuli Intersection,2026-06-01,8,Peak,Dry,469,1144,223,228,31
Bakuli Intersection,2026-06-01,9,Off-Peak,Dry,459,767,214,212,36
Bakuli Intersection,2026-06-01,9,Off-Peak,Dry,406,910,224,163,24
Bakuli Intersection,2026-06-01,9,Off-Peak,Dry,462,1123,249,225,35
Bakuli Intersection,2026-06-01,9,Off-Peak,Dry,493,924,176,153,16
Bakuli Intersection,2026-06-01,10,Off-Peak,Dry,185,407,90,61,10
Bakuli Intersection,2026-06-01,10,Off-Peak,Dry,204,516,77,65,10
Bakuli Intersection,2026-06-01,10,Off-Peak,Dry,145,320,79,54,9
Bakuli Intersection,2026-06-01,10,Off-Peak,Dry,138,388,93,66,6
Bakuli Intersection,2026-06-01,11,Off-Peak,Dry,171,396,112,72,8
Bakuli Intersection,2026-06-01,11,Off-Peak,Dry,212,489,92,94,8
Bakuli Intersection,2026-06-01,11,Off-Peak,Dry,121,344,54,48,7
Bakuli Intersection,2026-06-01,11,Off-Peak,Dry,158,430,100,73,5
Bakuli Intersection,2026-06-01,12,Off-Peak,Dry,127,355,86,44,5
Bakuli Intersection,2026-06-01,12,Off-Peak,Dry,170,247,69,67,6
Bakuli Intersection,2026-06-01,12,Off-Peak,Dry,152,247,74,67,9
Bakuli Intersection,2026-06-01,12,Off-Peak,Dry,148,302,76,47,8
Bakuli Intersection,2026-06-01,13,Off-Peak,Dry,161,353,70,70,4
Bakuli Intersection,2026-06-01,13,Off-Peak,Dry,188,271,77,69,6
